Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-12-19 10:17:13,false,"Paris Running","8.17","381","00:55:59","149","164","192","206","6:51","5:48","53","59","0.76","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","01:10.31","9","0.0","00:55:58","00:55:59","14","46"
Running,2021-12-18 09:41:04,false,"Paris Running","9.63","473","01:03:57","159","177","190","198","6:39","5:27","42","36","0.79","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","03:56.41","10","0.0","01:03:55","01:03:57","24","45"
Running,2021-12-11 09:23:22,false,"Paris Running","7.17","370","00:47:01","163","176","192","200","6:33","5:06","108","106","0.79","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","01:01.92","8","0.0","00:46:59","00:47:01","14","48"
Running,2021-11-27 09:28:34,false,"Paris Running","9.20","448","00:56:09","165","180","194","206","6:06","5:14","48","52","0.85","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","01:00.91","10","0.0","00:56:07","00:56:09","24","48"
Running,2021-11-21 10:10:43,false,"Paris Running","8.65","418","00:56:22","156","178","192","206","6:31","5:45","80","80","0.80","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","04:10.60","9","0.0","00:56:19","00:56:37","10","47"
Running,2021-11-13 09:56:22,false,"Paris Running","3.90","203","00:26:11","165","175","190","200","6:43","5:32","56","51","0.78","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","05:50.25","4","0.0","00:26:10","00:26:11","15","47"
Running,2021-10-03 08:45:42,false,"Grimaud Running","9.26","466","01:03:44","170","186","188","198","6:53","5:57","84","79","0.77","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","02:24.64","10","0.0","01:03:42","01:03:44","1","76"
Running,2021-10-01 08:32:18,false,"Grimaud Running","8.79","404","01:00:37","160","185","190","200","6:54","5:25","83","85","0.77","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","05:54.88","9","0.0","01:00:31","01:00:37","2","76"
Running,2021-09-28 10:52:36,false,"Deauville Running","9.71","473","01:03:34","173","187","190","196","6:33","5:48","26","26","0.80","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","04:45.37","10","0.0","01:03:32","01:03:34","--","12"
Running,2021-09-27 11:00:30,false,"Deauville Running","9.47","437","01:03:03","167","181","188","196","6:40","4:56","30","32","0.80","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","03:06.60","10","0.0","01:03:02","01:03:03","-2","21"
Running,2021-09-25 08:23:19,false,"Paris Running","11.29","550","01:13:06","175","194","188","198","6:29","5:01","59","58","0.82","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","01:50.18","12","0.0","01:13:03","01:13:06","24","52"
Running,2021-09-23 08:03:41,false,"Paris Running","4.42","211","00:29:36","169","179","192","200","6:41","6:02","45","30","0.78","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","02:49.32","5","0.0","00:29:35","00:29:36","14","49"
Running,2021-09-19 09:42:03,false,"Paris Running","10.07","499","01:11:00","171","188","184","190","7:03","5:24","56","47","0.77","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","00:27.88","11","0.0","01:10:57","01:11:00","25","48"
Running,2021-09-14 10:50:39,false,"Deauville Running","7.75","392","00:57:15","173","183","184","194","7:23","6:30","15","10","0.73","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","05:52.85","8","0.0","00:57:13","00:57:15","-2","14"
Running,2021-09-11 08:50:28,false,"Paris Running","4.89","263","00:36:10","176","190","184","198","7:24","6:03","44","38","0.74","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","06:42.81","5","0.0","00:36:10","00:36:10","15","45"
Running,2021-09-04 20:13:42,false,"Paris Running","0.00","--","00:00:03.6","104","105","116","116","--","14:46","--","--","0.14","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","00:03.57","1","0.0","00:00:03","00:00:03.6","44","44"
Running,2021-08-28 09:50:57,false,"Paris Running","4.44","246","00:30:25","180","193","184","196","6:51","5:00","46","39","0.79","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","03:08.41","5","0.0","00:30:24","00:30:25","16","46"
Running,2021-08-01 09:25:22,false,"Deauville Running","7.51","405","00:56:23","172","182","186","192","7:30","6:44","23","17","0.72","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","03:42.96","8","0.0","00:56:22","00:56:23","--","15"
Running,2021-06-19 08:18:19,false,"Grimaud Running","8.13","390","01:02:16","151","176","186","194","7:40","6:43","79","79","0.70","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","01:10.50","9","0.0","01:02:15","01:02:16","3","76"
Virtual Running,2021-06-18 09:17:22,false,"Grimaud Running","10.02","496","01:14:52","162","182","186","194","7:28","5:06","95","92","0.72","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","00:11.02","11","0.0","01:14:50","01:14:52","2","75"
Running,2021-06-17 09:02:58,false,"Grimaud Running","8.64","433","01:05:17","164","189","184","192","7:34","4:42","75","20","0.72","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","06:18.18","9","0.0","01:05:16","01:05:23","2","75"
Running,2021-05-22 09:19:38,false,"Paris Running","7.70","371","00:50:05","175","184","188","222","6:30","5:58","101","94","0.81","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","04:40.30","8","0.0","00:50:03","00:50:05","16","51"
Running,2021-05-20 12:45:04,false,"Paris Running","5.47","266","00:35:07","176","182","186","192","6:25","5:38","45","34","0.84","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","03:12.87","6","0.0","00:35:06","00:35:19","24","45"
Running,2021-05-15 09:39:23,false,"Paris Running","4.14","220","00:28:06","178","188","186","194","6:47","6:01","37","27","0.79","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","01:03.90","5","0.0","00:28:05","00:28:06","12","45"
Running,2021-04-17 08:54:12,false,"Paris Running","8.98","404","00:59:35","159","175","192","208","6:38","5:03","97","95","0.78","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","06:13.60","9","0.0","00:59:34","00:59:35","14","49"
Running,2021-04-15 08:13:00,false,"Paris Running","6.86","310","00:46:36","156","166","192","200","6:47","5:52","79","64","0.77","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","06:16.00","7","0.0","00:46:34","00:46:53","18","51"
Running,2021-04-14 08:37:22,false,"Paris Running","6.83","301","00:41:39","166","183","192","198","6:06","4:59","56","50","0.86","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","05:08.44","7","0.0","00:41:38","00:41:39","14","45"
Running,2021-04-11 10:33:06,false,"Paris Running","11.88","534","01:16:49","163","180","188","198","6:28","4:57","74","61","0.82","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","05:44.45","12","0.0","01:16:46","01:17:10","24","51"
Running,2021-04-05 10:24:55,false,"Deauville Running","9.51","428","01:02:02","161","174","188","196","6:32","5:55","12","10","0.82","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","03:06.62","10","0.0","01:02:00","01:02:13","--","13"
Running,2021-04-03 08:54:52,false,"Deauville Running","13.28","584","01:30:43","159","181","186","194","6:50","4:45","124","117","0.79","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","01:43.26","14","0.0","01:30:40","01:31:12","--","111"
Running,2021-03-31 07:55:13,false,"Paris Running","4.98","224","00:34:23","152","165","190","198","6:54","6:15","52","38","0.76","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","06:46.88","5","0.0","00:34:22","00:34:23","26","47"
Running,2021-03-30 12:59:23,false,"Paris Running","5.52","263","00:35:33","174","181","184","192","6:27","5:14","44","36","0.84","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","03:14.89","6","0.0","00:35:33","00:35:33","24","45"
Running,2021-03-27 08:28:20,false,"Paris Running","13.70","588","01:26:35","162","176","188","218","6:19","5:09","145","148","0.84","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","04:22.100","14","0.0","01:26:24","01:26:35","13","63"
Running,2021-03-25 12:28:40,false,"Paris Running","6.63","303","00:39:55","175","185","184","204","6:01","4:43","62","52","0.90","0.0","0.0","0.0","0.0","0.0","--","--","0:00","0.0","0:00","No","03:43.100","7","0.0","00:39:53","00:40:13","25","47"
