Floors Climbed,Floors Climbed.1,Goal,Floors Descended,year,month,mm-yyyy,Floors Climbed1
Jan,0,0,0,2019,01,2019-01,0
Feb,77,40,-119,2019,02,2019-02,77
Mar,343,180,-473,2019,03,2019-03,343
Apr,440,300,-483,2019,04,2019-04,440
May,587,310,-618,2019,05,2019-05,587
Jun,422,230,-373,2019,06,2019-06,422
Jul,511,300,-680,2019,07,2019-07,511
Aug,494,310,-638,2019,08,2019-08,494
Sep,681,300,-776,2019,09,2019-09,681
Oct,851,310,-833,2019,10,2019-10,851
Nov,557,300,-528,2019,11,2019-11,557
Dec,302,310,-345,2019,12,2019-12,302
Jan,489,310,-467,2020,01,2020-01,489
Feb,606,290,-643,2020,02,2020-02,606
Mar,799,310,-800,2020,03,2020-03,799
Apr,292,300,-272,2020,04,2020-04,292
May,385,310,-341,2020,05,2020-05,385
Jun,545,300,-521,2020,06,2020-06,545
Jul,314,310,-257,2020,07,2020-07,314
Aug,629,310,-574,2020,08,2020-08,629
Sep,463,300,-469,2020,09,2020-09,463
Oct,328,310,-291,2020,10,2020-10,328
Nov,179,300,-206,2020,11,2020-11,179
Dec,167,310,-189,2020,12,2020-12,167
Jan,222,310,-237,2021,01,2021-01,222
Feb,213,280,-211,2021,02,2021-02,213
Mar,266,310,-305,2021,03,2021-03,266
Apr,59,30,-40,2021,04,2021-04,59
May,0,0,0,2021,05,2021-05,0
Jun,0,0,0,2021,06,2021-06,0
Aug,189,120,-190,2021,08,2021-08,189
Sep,255,230,-243,2021,09,2021-09,255
Oct,470,310,-467,2021,10,2021-10,470
Nov,529,300,-431,2021,11,2021-11,529
Dec,125,130,-117,2021,12,2021-12,125
