Steps,Actual,Goal,year,month,mm-yyyy
Jan,0,0,2019,01,2019-01
Feb,39439,48010,2019,02,2019-02
Mar,283668,247410,2019,03,2019-03
Apr,385926,426420,2019,04,2019-04
May,591441,518500,2019,05,2019-05
Jun,418314,441720,2019,06,2019-06
Jul,590679,612810,2019,07,2019-07
Aug,575206,597070,2019,08,2019-08
Sep,471582,448570,2019,09,2019-09
Oct,528584,548490,2019,10,2019-10
Nov,408368,459940,2019,11,2019-11
Dec,447579,412090,2019,12,2019-12
Jan,389945,405520,2020,01,2020-01
Feb,464911,448550,2020,02,2020-02
Mar,463878,478380,2020,03,2020-03
Apr,423898,460390,2020,04,2020-04
May,489400,474220,2020,05,2020-05
Jun,429292,478630,2020,06,2020-06
Jul,321449,337540,2020,07,2020-07
Aug,391761,354950,2020,08,2020-08
Sep,280388,328440,2020,09,2020-09
Oct,224923,259660,2020,10,2020-10
Nov,278269,312690,2020,11,2020-11
Dec,255534,362470,2020,12,2020-12
Jan,244793,322380,2021,01,2021-01
Feb,261185,346610,2021,02,2021-02
Mar,358348,470070,2021,03,2021-03
Apr,40802,46790,2021,04,2021-04
May,0,0,2021,05,2021-05
Jun,0,0,2021,06,2021-06
Aug,110211,129700,2021,08,2021-08
Sep,306569,300030,2021,09,2021-09
Oct,307386,349580,2021,10,2021-10
Nov,308520,274730,2021,11,2021-11
Dec,93760,110230,2021,12,2021-12
